Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9987166579206908,0.8660281101265114
T cells,0.9992572433282558,0.8660281101265114
Myeloid cells,0.9878566777168614,0.8660281101265114
NK cells,0.8710858513578785,0.8611350513042967
