Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9997409654957828,0.9757575757575757
T cells,0.9998226318194925,0.9999999999999999
Myeloid cells,0.9971159492666913,0.9636363636363635
NK cells,0.903466167812911,0.8060606060606059
