Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9702714435315435,0.8181818181818182
T cells,0.9381922116066352,0.7212121212121211
Myeloid cells,0.5217219680216656,0.406060606060606
NK cells,0.4622316556221443,0.6
