Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9998046306032703,0.9757575757575757
T cells,0.9997656522744498,0.9999999999999999
Myeloid cells,0.9972218622313883,0.9393939393939393
NK cells,0.9203551084962893,0.8303030303030302
