Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9997124256250878,0.9878787878787878
T cells,0.9996066965311284,0.9151515151515152
Myeloid cells,0.9972291225399994,0.9636363636363635
NK cells,0.9146248382456048,0.8060606060606059
