Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9996112093078604,0.9515151515151514
T cells,0.9997711038714416,0.9999999999999999
Myeloid cells,0.9980420500493955,0.9636363636363635
NK cells,0.8564918848568526,0.8060606060606059
