Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9998524228761767,0.9757575757575757
T cells,0.9997632634312673,0.9878787878787878
Myeloid cells,0.9976547563428332,0.9272727272727272
NK cells,0.9240805167473802,0.8303030303030302
