Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9999210233665902,0.9757575757575757
T cells,0.9998232482597323,0.9636363636363635
Myeloid cells,0.9985132677068955,0.9636363636363635
NK cells,0.8766983451125083,0.7575757575757575
