Cell Type,Pearson Correlation,Spearman Correlation
B cells,0.9751244749087036,0.9151515151515152
T cells,0.9437747453050557,0.8424242424242423
Myeloid cells,0.7927605304801945,0.6969696969696969
NK cells,-0.13244316780934356,0.17575757575757575
