LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.0295888434812997	0.0360352554468328	0.0502991886197616	0.0319899159745473	0.0281598890878599	0.0289936624376191	0.0328042871662018	0.0353585348419637	0.035148495055721	0.0350938823061167	0.0273015526562757	0.0331299400925089	0.0282458922150894	0.0346374754926041	0.0311335512354741	0.0365230753895555	0.042612336092853	0.0426216469057198	0.0436853189329333	0.0544599998218877	0.0944365024607378	0.0417258751198365	0.0491320446581058	0.0381370394928435	0.0286419244372173	0.0301038705784342
healthy_sample_1	0.0310278681387042	0.0314598303734931	0.0523733756741488	0.0356413621256814	0.0313265942839499	0.0342337511859294	0.0357353543689792	0.0289656032412807	0.0364936492555256	0.0364339782194003	0.0343691671282331	0.0316179497450702	0.0327401574435765	0.0271275354734029	0.0354132906565907	0.0299361025370304	0.0360178360064165	0.0435905294783835	0.0501306947053435	0.0578496945188599	0.0756396842453483	0.0496503976107659	0.0397737587255332	0.0402096759846926	0.0341320878443783	0.0281100710292817
healthy_sample_2	0.0331475186895542	0.030992655935797	0.0599209502768864	0.0289637008796885	0.0282299977332308	0.0324003658101473	0.0318898059054167	0.0292995591622796	0.0312762348881157	0.0362841778274083	0.034738038831565	0.0259529646602721	0.0299570074345583	0.0344147719876426	0.0378242424272471	0.0335662661740921	0.0389558011471386	0.0363589026765794	0.0488343653934953	0.0548781992588319	0.0847781596061168	0.0499200766428833	0.0450873811035317	0.0382103057239451	0.0331646794200438	0.0309538704035323
healthy_sample_3	0.0283195184769715	0.0300848739854436	0.0509572415384027	0.0290802408403107	0.0306988648609003	0.0358926192275943	0.033108987318834	0.0287144387514675	0.0347806718901676	0.0319578530964264	0.0337639990056377	0.0300186487985653	0.0331955373073195	0.0355584569865125	0.0388424514016675	0.0293427758315964	0.0396401465243965	0.0365779606479459	0.0503441559767712	0.0602984784388109	0.0774427381066732	0.046746728907821	0.0462118820965593	0.0438621822051148	0.0327084029463853	0.0318501448317044
healthy_sample_4	0.0237471064217301	0.0264183658485906	0.054799221794461	0.0322353310582161	0.0352533230901022	0.0363730281953506	0.0345164146114394	0.0310861484667953	0.0293153808022043	0.040808143519023	0.0277787925202715	0.0357258831794704	0.0297935315276522	0.0350780881170005	0.0303413189986559	0.0319352796182263	0.0373619473069359	0.0388364554936607	0.0502311021186411	0.0566250727918292	0.0811176587343001	0.0469679634703154	0.0454215318600993	0.0446106789141495	0.0309230547284301	0.0326991768124496
unhealthy_sample_0	0.0431609877305234	0.0472506911582858	0.0680517006946295	0.0332659245621786	0.0275039678893674	0.0351168483294536	0.0304061567089564	0.0266206738411091	0.0306889200072741	0.0325657303730351	0.0285548780614345	0.0294201319219862	0.0242597011386007	0.0292548083720768	0.0283453546319771	0.0318987658384417	0.0469550083872992	0.0448685768575936	0.0483523176833601	0.0519446315235382	0.0723351603194242	0.0539677756401214	0.0375754494441707	0.0381517679381876	0.03018735918678	0.0292967117601946
unhealthy_sample_1	0.0471019402027648	0.0390762274364222	0.0676853257380804	0.0275799182297726	0.026680382088405	0.033223147274699	0.0299992514509584	0.0295262629298047	0.038499610137369	0.0369431424379438	0.0264177032049159	0.0277774511974674	0.0242260259898758	0.0285246880472199	0.0335622783851069	0.0294340460948801	0.0433555777156834	0.0347589642771448	0.0489986004040648	0.0566011727132154	0.0701666812796028	0.0466637365525249	0.0417348224595731	0.0423609692141149	0.0341213677215173	0.0349807068168727
unhealthy_sample_2	0.0436108473020788	0.0545166460806767	0.0635880642895753	0.0310679605936671	0.026858926163309	0.0359554457892459	0.0286722536460549	0.0279280493291411	0.0319650557670184	0.0301332264148827	0.0304845804369284	0.0258892088201174	0.0288714648847604	0.030537898788009	0.0266805084531892	0.0269061852171728	0.0452107620105468	0.0403159011018806	0.0404733314837845	0.0562178043038376	0.0803945536666101	0.0492357946907555	0.0388371795440401	0.0426117646670263	0.0298595226480967	0.0331770639075949
unhealthy_sample_3	0.0420377251511837	0.0491875315736617	0.0599387367416008	0.0363552589119204	0.0210166237420765	0.0304333946413535	0.0342846777805183	0.0251183730249397	0.0417698456898012	0.0313895214963688	0.0276907508409373	0.032432848625123	0.0255019471937007	0.0297568270837996	0.0280714679096477	0.0339011659965325	0.0441416838868792	0.03526082885754	0.0466704860654148	0.050662823305501	0.0821491423829282	0.0464725643888529	0.0411768065568525	0.0371020650840632	0.0354148840615706	0.032062019007232
unhealthy_sample_4	0.0427246256853169	0.051712485144687	0.0610436426801597	0.035179619974143	0.0303337322313378	0.0402255631592037	0.0323992160550407	0.0242636591864689	0.034024828844359	0.0331372044108905	0.0244274609311862	0.026814587507143	0.0240455832775057	0.0274905958834659	0.0317891033397209	0.034177996869366	0.0421526534096923	0.0404747043880137	0.0479874672758147	0.0516867096113373	0.0745875912419986	0.0474525482269764	0.0440261444982452	0.0370173903164553	0.0332977318312346	0.027527154020237
