LFQ.intensity_B.memory_01_activated
LFQ.intensity_B.memory_02_activated
LFQ.intensity_B.memory_03_activated
LFQ.intensity_B.memory_04_activated
LFQ.intensity_B.naive_01_activated
LFQ.intensity_B.naive_02_activated
LFQ.intensity_B.naive_03_activated
LFQ.intensity_B.naive_04_activated
LFQ.intensity_mTregs_01_activated
LFQ.intensity_mTregs_02_activated
LFQ.intensity_mTregs_03_activated
LFQ.intensity_T4.naive_01_activated
LFQ.intensity_T4.naive_02_activated
LFQ.intensity_T4.naive_03_activated
LFQ.intensity_T4.naive_04_activated
LFQ.intensity_nTregs_01_activated
LFQ.intensity_nTregs_02_activated
LFQ.intensity_nTregs_03_activated
LFQ.intensity_T4.CM_01_activated
LFQ.intensity_T4.CM_02_activated
LFQ.intensity_T4.CM_03_activated
LFQ.intensity_T4.CM_04_activated
LFQ.intensity_T4.EM_01_activated
LFQ.intensity_T4.EM_02_activated
LFQ.intensity_T4.EM_03_activated
LFQ.intensity_T4.EM_04_activated
LFQ.intensity_T4.EMRA_01_activated
LFQ.intensity_T4.EMRA_02_activated
LFQ.intensity_T4.EMRA_03_activated
LFQ.intensity_T4.EMRA_04_activated
LFQ.intensity_T8.naive_01_activated
LFQ.intensity_T8.naive_02_activated
LFQ.intensity_T8.naive_03_activated
LFQ.intensity_T8.naive_04_activated
LFQ.intensity_T8.CM_01_activated
LFQ.intensity_T8.CM_02_activated
LFQ.intensity_T8.CM_03_activated
LFQ.intensity_T8.CM_04_activated
LFQ.intensity_T8.EM_01_activated
LFQ.intensity_T8.EM_02_activated
LFQ.intensity_T8.EM_03_activated
LFQ.intensity_T8.EM_04_activated
LFQ.intensity_T8.EMRA_01_activated
LFQ.intensity_T8.EMRA_02_activated
LFQ.intensity_T8.EMRA_03_activated
LFQ.intensity_T8.EMRA_04_activated
LFQ.intensity_mDC_01_activated
LFQ.intensity_mDC_02_activated
LFQ.intensity_mDC_03_activated
LFQ.intensity_mDC_04_activated
LFQ.intensity_pDC_01_activated
LFQ.intensity_pDC_02_activated
LFQ.intensity_pDC_03_activated
LFQ.intensity_pDC_04_activated
LFQ.intensity_MO.classical_01_activated
LFQ.intensity_MO.classical_02_activated
LFQ.intensity_MO.classical_03_activated
LFQ.intensity_NK.bright_01_activated
LFQ.intensity_NK.bright_02_activated
LFQ.intensity_NK.bright_03_activated
LFQ.intensity_NK.dim_01_activated
LFQ.intensity_NK.dim_02_activated
LFQ.intensity_NK.dim_03_activated
LFQ.intensity_B.memory_01_steady-state
LFQ.intensity_B.memory_02_steady-state
LFQ.intensity_B.memory_03_steady-state
LFQ.intensity_B.memory_04_steady-state
LFQ.intensity_B.naive_01_steady-state
LFQ.intensity_B.naive_02_steady-state
LFQ.intensity_B.naive_03_steady-state
LFQ.intensity_B.naive_04_steady-state
LFQ.intensity_B.plasma_01_steady-state
LFQ.intensity_B.plasma_02_steady-state
LFQ.intensity_B.plasma_03_steady-state
LFQ.intensity_B.plasma_04_steady-state
LFQ.intensity_mTregs_01_steady-state
LFQ.intensity_mTregs_02_steady-state
LFQ.intensity_mTregs_03_steady-state
LFQ.intensity_mTregs_04_steady-state
LFQ.intensity_T4.naive_01_steady-state
LFQ.intensity_T4.naive_02_steady-state
LFQ.intensity_T4.naive_03_steady-state
LFQ.intensity_T4.naive_04_steady-state
LFQ.intensity_nTregs_01_steady-state
LFQ.intensity_nTregs_02_steady-state
LFQ.intensity_nTregs_03_steady-state
LFQ.intensity_nTregs_04_steady-state
LFQ.intensity_T4.CM_01_steady-state
LFQ.intensity_T4.CM_02_steady-state
LFQ.intensity_T4.CM_03_steady-state
LFQ.intensity_T4.CM_04_steady-state
LFQ.intensity_T4.EM_01_steady-state
LFQ.intensity_T4.EM_02_steady-state
