LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.0282283923650835	0.0254854061992509	0.0571209779801105	0.0286001368475511	0.0273153159103224	0.0343810535544923	0.0336840215345134	0.0350723174743975	0.0308456654325551	0.0375055912634279	0.0313948656128918	0.0347248621430293	0.0266170793072359	0.0387402163010831	0.0374074487319997	0.0314550963186932	0.0450903759471617	0.0357339095139792	0.0440563566949214	0.0501163935174667	0.092435199324133	0.046416830384877	0.0427335068692766	0.0396059838995075	0.0395594861139168	0.0256735107581226
healthy_sample_1	0.0314012644359286	0.0307428487270194	0.0515349649551516	0.0286854808058954	0.0341244999508304	0.0390712016377996	0.0270308913993267	0.028729920646397	0.0393575021968998	0.0325551233928981	0.035001023455881	0.0346473355027956	0.0351426562032897	0.0274475214167519	0.0301161210282599	0.0280121317345907	0.0423377951803406	0.0356443640604941	0.0433807246055514	0.0559958700252016	0.0940141634094833	0.0426826000076648	0.0497198405818237	0.0390213823856425	0.0309634856769547	0.0326392865771283
healthy_sample_2	0.0256983624436519	0.0332186799114597	0.0593735794469279	0.0297183326735905	0.0306981473346787	0.0375104670545326	0.0272927505290646	0.0329667671812267	0.0336499413368589	0.030490093258948	0.0356620569523706	0.032439838940855	0.0270495297007964	0.0371152193243876	0.0342906779696921	0.0347332979022796	0.0417046699304932	0.0422646435967227	0.0462982231779434	0.0474112400376826	0.0865588083712058	0.053189763925169	0.0461976020795332	0.0357722980735739	0.0304563016947925	0.0282387071515624
healthy_sample_3	0.0276270702377836	0.0297730973266206	0.0560615394097803	0.03428209029827	0.032283001735646	0.0304908896794428	0.0291081640440067	0.0306966426996995	0.0399498001009006	0.0383909953184043	0.0338380734149508	0.0326029736972418	0.0249625451679602	0.0362763515164266	0.0364498864532058	0.0285664570955409	0.0374352058834674	0.0335973379729864	0.0490342898406126	0.0571984968341894	0.0809061668906685	0.0478763630636011	0.0458243651415619	0.043519162411164	0.0364767198840777	0.0267723138817905
healthy_sample_4	0.0275569540571739	0.0316620724790033	0.0562443715103514	0.0309859076776708	0.0263449798501331	0.0334567451409293	0.0344708317319848	0.0319452131723724	0.0350003158570324	0.0425655077940961	0.0272744306427749	0.036874789337386	0.0280864959807736	0.0299187457467209	0.0344085893978	0.0340560353543306	0.0425456594268092	0.0339838931517703	0.0512547457174981	0.0582082528662028	0.0889155913003836	0.0460711707177734	0.0398502659893169	0.0400077082669487	0.0299833908626916	0.0283273359700719
unhealthy_sample_0	0.0393331560571797	0.0489567571430241	0.0651477170445846	0.0370625145663854	0.0244818238877541	0.0314988507797292	0.0313472237505186	0.0328022100389014	0.0339889051875213	0.0314507993515266	0.0273445889333057	0.0289229099447593	0.0269074312029113	0.0253712670952265	0.0271595557113318	0.0321303751938114	0.0459750800468255	0.040638838814828	0.0478420918623456	0.0577584248166251	0.0715084476218173	0.0477109799654842	0.0427535484098035	0.0335946479434288	0.0305819635942771	0.0377298910360938
unhealthy_sample_1	0.0483431138585842	0.0550528989575052	0.0587516883915126	0.0351161167602047	0.0238272084543453	0.0315435824959982	0.0314076564997885	0.0264171314480335	0.0349009835729115	0.0279875628072077	0.0304725848816458	0.0298880300516182	0.0255672673801168	0.0310759436512343	0.0367695911043296	0.0243723296851788	0.0465674802871947	0.0434307987605697	0.0425004557082852	0.0565813553038653	0.0761878602086374	0.051746606640614	0.0383093837645426	0.0378989982604213	0.0277562414203929	0.027527129645262
unhealthy_sample_2	0.0556246133322045	0.0509802527291249	0.0656912673218871	0.0264500414521204	0.026519974784863	0.0369591472622976	0.0276011173479786	0.0274873683513713	0.0375793744195717	0.0307938345266129	0.0322562912369044	0.0271837886765672	0.0243994676775978	0.0251301934178981	0.0305087699474399	0.0302163934507844	0.0397436284494798	0.0327612222882694	0.0474869703350475	0.0479159707327664	0.0802433679456122	0.0470663665481782	0.0421237664270782	0.0439124725774489	0.033086711211573	0.0302776275493225
unhealthy_sample_3	0.0432126242701084	0.0503108543161366	0.0545277693953044	0.0289953699836472	0.0289078212084234	0.0321265887994862	0.0323698136855288	0.026614030315871	0.0304609790135899	0.033343243494353	0.0306408588564837	0.0242188935185321	0.0285497106770479	0.0354900305956505	0.0272091011759285	0.0286688385077146	0.0417554527125516	0.0407628221785064	0.0455745011493023	0.0602079153086945	0.0787243173171607	0.0473385246504381	0.0426886551307402	0.045281199585809	0.0352771740942078	0.0267429100587834
unhealthy_sample_4	0.0409714153683125	0.0435908410053293	0.0740054907797316	0.0333547480076731	0.023494297539309	0.0330976900603402	0.0288505685599242	0.0316758967496308	0.0340480737505087	0.0282047395399746	0.0296496116641832	0.0274644047259707	0.028977122847994	0.0333018689969926	0.036355903203525	0.0277021289726714	0.0369197516702406	0.0418089115939915	0.0481945856358665	0.0548816063272503	0.0808538282759433	0.045062191140529	0.0432647279280727	0.0382069267958456	0.0295387375958622	0.0265239312643276
