Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state	P-value	Correlation	RMSE
healthy_sample_0	0.0408806727005656	0.0544273487490639	0.0174894437647359	0.0207858895485337	0.0677752732435153	0.0231986252022324	0.0789669344221595	0.0662841529366858	0.0183551159627339	0.0408224586482595	0.0356115893802119	0.0651430661586838	0.0864016407066225	0.0208377824700513	0.0395855495477453	0.0264410771810454	0	0.00665951735520217	0.0187958233391307	0.026113073786637	0.0842342337431985	0.0607049491723083	0.0150022493488616	0.0280191867955903	0.0212487732147391	0.0362155726214866	0	0.998427904971682	0.097257575159542
healthy_sample_1	0.0386289512192599	0.0415687694817637	0.0189023318389019	0.0165477016943119	0.0809742682925197	0.0219968982677951	0.0827952992146874	0.056976617112772	0.0185900407875888	0.0572768160972581	0.0270059089675174	0.0649709077780389	0.0720909905117675	0.0245499760362264	0.0472249132999406	0.0343317867135838	0	0.00703885722542225	0.0172485576709302	0.0223779464699142	0.0795586813199139	0.0724918517724816	0.0143352341240076	0.0214542604650247	0.023233703199589	0.0378287304387835	0	0.99844142022542	0.0966191202608537
healthy_sample_2	0.0498529085227288	0.0546629426500527	0.0193747864571923	0.01701651793404	0.083361901213234	0.0201247263889923	0.0659330967427532	0.0844811474925017	0.015490863564032	0.0522814363211315	0.0367093152114872	0.0578614606193496	0.071904227223523	0.0209304731522555	0.0570138819443684	0.0343371772697069	0	0.00463281489065999	0.0158712633093751	0.0240364884061597	0.0639985602695989	0.061676783268107	0.00495375340570469	0.0214510718044743	0.0268963634963237	0.0351460384422476	0	0.998458665461164	0.09127752921279
healthy_sample_3	0.0411702764595387	0.0535178298665251	0.0213766755042846	0.0108869855483516	0.0803559397312048	0.0307249650720417	0.0674331926346583	0.0672402804723264	0.0236468891132625	0.047804406294137	0.0406266482026038	0.0673199746541904	0.0751185682049388	0.0192922072007385	0.0477188114605138	0.0323671543458628	0	0.00429012869310012	0.0198965748703924	0.0234887667390743	0.070098819673426	0.0656536256163905	0.0119074057987799	0.020674792454093	0.0216353683061488	0.0357537130834161	0	0.998295391082155	0.0962880215304893
healthy_sample_4	0.0394068347195286	0.0581530090522154	0.0195411285638694	0.0191258371795534	0.0740419228425382	0.0193718985696644	0.096703720416716	0.0687831432504621	0.0176495975187374	0.0470065366819755	0.0285841876995463	0.0602725008724043	0.0859565383551459	0.0126424222823543	0.0429332927395978	0.0428897786962261	0	0.00688670574835008	0.0145337778895997	0.0231639184980552	0.0707885486794635	0.0607735784016511	0.00971302612595917	0.0254516881187945	0.0210749649573426	0.034551442140249	0	0.998649347460157	0.0906367631737381
unhealthy_sample_0	0.330260061755023	0.427413404849356	0.0440573940299285	0	0.020413938440192	0.00629025052417965	0.0207538100192744	0.00493872159320557	0.00923884592358725	0.0119917514738532	0	0.0129420434601497	0.0143480073805663	0	0.00746863589991902	0.00492700165533668	0.00251219395180413	0.000557462144524243	0.00573669789798429	0.0118706073012165	0.0221139211457244	0.0147859529686087	0	0	0.00773322191083893	0.0196460756747276	0	0.995602911105793	0.109522923769807
unhealthy_sample_1	0.242699852065549	0.48170471472025	0.0444127022055989	0	0.0129184159082844	0.00843063804164338	0.0109961024159486	0.0097641510427779	0.0119679608980289	0.014429164273296	0	0.0415242593205699	0.0179020555276824	0	0.00752667627611261	0.0104796271242621	0	0.00687396203749676	0.00677727370078636	0.0174891505169689	0.0179769413351687	0.0148342193583875	0.00660103103401316	0	0.00165558720259365	0.0130355149945802	0	0.996204647741376	0.105140743597933
unhealthy_sample_2	0.301465224360011	0.413337712927309	0.0437431277739712	0	0.019771261664975	0.0112562396580731	0.0121246930194068	0.00750046033065761	0.011916406364535	0.0135301657562706	0	0.0249990924863149	0.0206156900227788	0	0.00444295370888382	0.010661786615431	0	0.00262175238587086	0.00671050774636504	0.013754798425801	0.0266510760204543	0.0209220512941745	0.00164703877867461	0	0.0125190136238162	0.0198089470362264	0	0.993782470736272	0.126121412592019
unhealthy_sample_3	0.297158291219939	0.454347543884237	0.037886800776286	0	0.0277972048448972	0.00947855684887487	0.0100706913845035	0.0144665624994462	0	0.00482283578480883	0	0.00925038148507237	0.0217877647439363	0	0.00396694229485014	0.0101392086413671	0	0.00550716945173895	0.00525166434328365	0.011967523798036	0.0273431760118109	0.0203246582493401	0	0.00156547709701307	0.0192287782612969	0.00763876837926271	0	0.995381218859757	0.111170776487988
unhealthy_sample_4	0.257056103500985	0.488344383702789	0.0394741001975727	0.0101078399561672	0.034642020309374	0.00515793445370436	0.0237140318966453	0.0122975834404247	0	0.0114148981145089	0	0	0.0103855783618052	0	0.00386555572786986	0.000203292498936824	0	0.00106412628930043	0.00248131412434845	0.0143910201072113	0.0187508888814201	0.0206749829522243	0	0.00900867550280707	0.020998301422497	0.0159673685594088	0	0.994665149683089	0.116534781481303
