,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.0029680015722046,0.0237117253075792,0.00759818649252876,0.0013586478358855,0.0929324295101533,0.6331664799563521,0.231190304385257,0.0427107861482375
1,0.002595720031853,0.023189881797534697,0.0080173768875616,0.0016086134909468,0.0818821706835048,0.6307523747198424,0.2402249837587832,0.0471404708378696
2,0.0031261042506447,0.0236062710959016,0.0074865315866135,0.0013842747964880999,0.1010163832110229,0.633415878663812,0.2248434525756417,0.0407242855495234
3,0.0027833337314559998,0.024340611914263496,0.0071265550628102,0.0014093885649693,0.0923576213552367,0.6494761227421528,0.2159964516248936,0.0421698042777168
4,0.003117967764452,0.023357385474138903,0.007164909847928001,0.0017584414697511,0.0951104809825593,0.6381421706202883,0.2240964352719542,0.0426509131251981
5,0.0276920949963798,0.0061686109764835,0.001151034267606,0.0007065504638657,0.7970206473245761,0.1528483144205714,0.0350733479676865,0.0150576902871657
6,0.0294857658463977,0.005286065355059601,0.0004904292263756686,0.000449349862279,0.8379647669720367,0.1167227474686123,0.0320241065227564,0.0132883790365946
7,0.027641707021498,0.005235642058240642,0.0016271532574311499,0.0010227213201397,0.8212311630688862,0.1228856070758594,0.0364663779918803,0.0194168518633738
8,0.0271363490041284,0.006683994024239799,0.0011120683663783542,0.0008375260368215,0.7906825586859975,0.1640941386202427,0.0336312889873031,0.0115920137064565
9,0.0289131706261955,0.0045086915978393306,0.0009765490156890508,0.0009237302746242,0.8336580086548385,0.1184352484594205,0.0351381406423054,0.0127686022434353
