LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.0331309876853069	0.0289085430315584	0.0490636853418268	0.031733180613608	0.0300517997009467	0.033364326910926	0.0330895145440455	0.0329446571691553	0.0350764224451871	0.0351704569670651	0.0341529789345381	0.034501708702849	0.0314051142785752	0.0335184900646264	0.0261950675069049	0.0434478376423411	0.036497847261493	0.0316980956643361	0.0474361815102069	0.0535228534015594	0.0831290809004521	0.0514917620246513	0.0475081609857292	0.0397237342825296	0.030894903915112	0.0323426085144698
healthy_sample_1	0.0313786469847189	0.0287925059836676	0.0580221413734668	0.0333419947577822	0.0342496035285291	0.0358115396307861	0.0315181584328142	0.0297695444260393	0.0386348497944238	0.0332267506466628	0.0310919636581673	0.0326368437936864	0.0293056387590252	0.0308316130010932	0.0303476261004703	0.0373425846877123	0.0422354636208295	0.0373862858055444	0.0452108121851104	0.0509610900873492	0.0839841780257553	0.039639280194239	0.0456832832804146	0.0407255681784735	0.0316781534458838	0.0361938796173544
healthy_sample_2	0.0299156025663556	0.0300381405663135	0.0545472330999916	0.0321959651416368	0.03032341106689	0.0313305934907394	0.0363665310348157	0.0320534509335358	0.0380404295574836	0.030798074689113	0.0346508766236501	0.0388141208322188	0.0298114950598299	0.0367484076071895	0.0278025573928383	0.0308558985453505	0.0413513961575213	0.0406292430862956	0.0428925497860421	0.0577279536604103	0.077273290429033	0.0438877965772407	0.0380859265431593	0.041082917749372	0.0358928119907505	0.0368833258122234
healthy_sample_3	0.0223362699828956	0.0296043558053348	0.050531788449643	0.0318650801417702	0.0323640781189728	0.0352056306544465	0.0352846383643264	0.0324181060243371	0.0334967224696707	0.0338373381063913	0.0294245972789031	0.0319735755989639	0.02997799235063	0.037501592526237	0.0362782753102169	0.0340714190989301	0.0442868390872235	0.0357057687161171	0.0477562489113788	0.0556038692668991	0.0803912044066999	0.0489476290796645	0.0455130942658837	0.0399299068780981	0.0338018766842019	0.0318921024221641
healthy_sample_4	0.0275787250869332	0.027140810036077	0.0545735972089076	0.0271500488543936	0.0320864035138048	0.028992561345835	0.0409972467977156	0.0313472910055418	0.0337677866251397	0.0338024635221412	0.0355276785190667	0.0290391015266816	0.0300700665719671	0.0363967082895484	0.0308415675412406	0.0337796415875797	0.037705907599534	0.0423356741996749	0.0413951926628385	0.0586705398564967	0.0821495551402019	0.0518984058308705	0.0439736211539017	0.0450147525981286	0.0307451804024921	0.0330194725232875
unhealthy_sample_0	0.050848128215092	0.0488273319718589	0.0610160781913857	0.0288268489323795	0.0317434455596007	0.0326088141604254	0.0303223415870526	0.0265689970406137	0.0357168771893384	0.0303016862064719	0.029134400294583	0.0286511060037918	0.027749480531735	0.0343811351429629	0.0300201713963891	0.0344364611610958	0.0406278674754557	0.0363306200283239	0.042437391319273	0.0493764300954426	0.0735985207548031	0.045322414219038	0.0456863207515029	0.0358733540824095	0.035056207617495	0.0345375700714796
unhealthy_sample_1	0.0477743243148288	0.0509149968487303	0.0636544923996096	0.0340907149712458	0.0276794982813103	0.0315810518212388	0.0315043820010598	0.0321004736254399	0.0308733911293928	0.0332957055866074	0.0329809766936245	0.029495760220639	0.0279050178065112	0.0291806290764851	0.0289075961735856	0.025447684869075	0.042185744450934	0.0409587646289393	0.0412487549757012	0.0472128123317816	0.0814954085612182	0.042752549567607	0.042758854994932	0.0363165911021853	0.0315255990132928	0.0361582245540245
unhealthy_sample_2	0.0434479616871037	0.0502215343812656	0.0648434645325456	0.02398668469394	0.0250692984157894	0.0341615854076336	0.0327211199837227	0.0334227387108879	0.0314774137422191	0.0331626023987117	0.0320764790330558	0.0292316972081459	0.0224857620420832	0.0299557287985046	0.0306745242702054	0.0303920812902665	0.037735526063558	0.0402090305721308	0.0452513126675355	0.0570592686272061	0.082051319454588	0.041031333336597	0.050969512942677	0.0335873998761841	0.0312491216335267	0.0335254982299156
unhealthy_sample_3	0.0448656388739903	0.0443358511887155	0.0551707993756764	0.0370000177722611	0.0318552080740353	0.0299946809056656	0.0240825919231302	0.029686809577657	0.0353529568764235	0.0287828870141697	0.0293678106525157	0.0335243876531061	0.0320550977874275	0.0293876956960509	0.0297167391893634	0.0308173020755949	0.043267972503332	0.0395642684876723	0.04784781476074	0.0538329666954485	0.0740394217874233	0.0475054060906275	0.0424385212301011	0.0368637560456724	0.0330006989689688	0.0356426987942309
unhealthy_sample_4	0.0504535772681028	0.0500900338580096	0.0584502167396818	0.029195588984513	0.0318161253133725	0.0341318049727833	0.0327637324458228	0.027463925766308	0.0431305519976934	0.0280979290601373	0.0241853125001959	0.0309989042244118	0.0240395822539608	0.031255267694527	0.0286884819114172	0.0334716520963239	0.0400642748257824	0.0383376667528237	0.0433481939840435	0.0471390986941591	0.0793251560723081	0.0465126846691249	0.0452862299040163	0.0361570772475098	0.0323053090280531	0.0332916217349179
