Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
sample_1_healthy	0.04120302147931145	0.04944362577517374	0.0006205549192897406	0.09466855230123507	0.04595623019633416	0.005383993495804838	0.08114447340105864	0.05678831234860817	0.06217230584441301	0.043264233448431735	0.0676203945008822	0.06492839775297977	0.0378802399526269	0.04057223670052932	0.029740154548255293	0.01083208215227402	0.019281643133969437	0.015425314507175549	0.06361814652740092	0.00962954575228649	0.021198531632668154	0.07710402090648129	0.005773217125492604	0.01348587437908038	0.017345031647516	0.02492899137835775
sample_2_healthy	0.04120302147931145	0.04944362577517374	0.0006205549192897406	0.09466855230123507	0.04595623019633416	0.005383993495804838	0.08114447340105864	0.05678831234860817	0.06217230584441301	0.043264233448431735	0.0676203945008822	0.06492839775297977	0.0378802399526269	0.04057223670052932	0.029740154548255293	0.01083208215227402	0.019281643133969437	0.015425314507175549	0.06361814652740092	0.00962954575228649	0.021198531632668154	0.07710402090648129	0.005773217125492604	0.01348587437908038	0.017345031647516	0.02492899137835775
sample_3_healthy	0.04120302147931145	0.04944362577517374	0.0006205549192897406	0.09466855230123507	0.04595623019633416	0.005383993495804838	0.08114447340105864	0.05678831234860817	0.06217230584441301	0.043264233448431735	0.0676203945008822	0.06492839775297977	0.0378802399526269	0.04057223670052932	0.029740154548255293	0.01083208215227402	0.019281643133969437	0.015425314507175549	0.06361814652740092	0.00962954575228649	0.021198531632668154	0.07710402090648129	0.005773217125492604	0.01348587437908038	0.017345031647516	0.02492899137835775
sample_4_healthy	0.04120302147931145	0.04944362577517374	0.0006205549192897406	0.09466855230123507	0.04595623019633416	0.005383993495804838	0.08114447340105864	0.05678831234860817	0.06217230584441301	0.043264233448431735	0.0676203945008822	0.06492839775297977	0.0378802399526269	0.04057223670052932	0.029740154548255293	0.01083208215227402	0.019281643133969437	0.015425314507175549	0.06361814652740092	0.00962954575228649	0.021198531632668154	0.07710402090648129	0.005773217125492604	0.01348587437908038	0.017345031647516	0.02492899137835775
sample_5_healthy	0.04120302147931145	0.04944362577517374	0.0006205549192897406	0.09466855230123507	0.04595623019633416	0.005383993495804838	0.08114447340105864	0.05678831234860817	0.06217230584441301	0.043264233448431735	0.0676203945008822	0.06492839775297977	0.0378802399526269	0.04057223670052932	0.029740154548255293	0.01083208215227402	0.019281643133969437	0.015425314507175549	0.06361814652740092	0.00962954575228649	0.021198531632668154	0.07710402090648129	0.005773217125492604	0.01348587437908038	0.017345031647516	0.02492899137835775
sample_5_unhealthy	0.37258008910499996	0.447096106926	0.005611394476	0.018183599566999997	0.008827109607	0.001034138364	0.015585942485999999	0.010907697506	0.011941835869999999	0.008310040425	0.012988285405000003	0.012471216223	0.007275902061000001	0.0077929712429999996	0.005712383344	0.002080587899	0.0030842970750000003	0.0024674376600000002	0.010176376665	0.0015403448549999998	0.0033909231000000006	0.012333580935	0.0009234854400000001	0.00215720427	0.006404606570999999	0.009204963429
sample_6_unhealthy	0.37258008910499996	0.447096106926	0.005611394476	0.018183599566999997	0.008827109607	0.001034138364	0.015585942485999999	0.010907697506	0.011941835869999999	0.008310040425	0.012988285405000003	0.012471216223	0.007275902061000001	0.0077929712429999996	0.005712383344	0.002080587899	0.0030842970750000003	0.0024674376600000002	0.010176376665	0.0015403448549999998	0.0033909231000000006	0.012333580935	0.0009234854400000001	0.00215720427	0.006404606570999999	0.009204963429
sample_7_unhealthy	0.37258008910499996	0.447096106926	0.005611394476	0.018183599566999997	0.008827109607	0.001034138364	0.015585942485999999	0.010907697506	0.011941835869999999	0.008310040425	0.012988285405000003	0.012471216223	0.007275902061000001	0.0077929712429999996	0.005712383344	0.002080587899	0.0030842970750000003	0.0024674376600000002	0.010176376665	0.0015403448549999998	0.0033909231000000006	0.012333580935	0.0009234854400000001	0.00215720427	0.006404606570999999	0.009204963429
sample_8_unhealthy	0.37258008910499996	0.447096106926	0.005611394476	0.018183599566999997	0.008827109607	0.001034138364	0.015585942485999999	0.010907697506	0.011941835869999999	0.008310040425	0.012988285405000003	0.012471216223	0.007275902061000001	0.0077929712429999996	0.005712383344	0.002080587899	0.0030842970750000003	0.0024674376600000002	0.010176376665	0.0015403448549999998	0.0033909231000000006	0.012333580935	0.0009234854400000001	0.00215720427	0.006404606570999999	0.009204963429
sample_9_unhealthy	0.37258008910499996	0.447096106926	0.005611394476	0.018183599566999997	0.008827109607	0.001034138364	0.015585942485999999	0.010907697506	0.011941835869999999	0.008310040425	0.012988285405000003	0.012471216223	0.007275902061000001	0.0077929712429999996	0.005712383344	0.002080587899	0.0030842970750000003	0.0024674376600000002	0.010176376665	0.0015403448549999998	0.0033909231000000006	0.012333580935	0.0009234854400000001	0.00215720427	0.006404606570999999	0.009204963429
