,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.1027751437979361,0.6339345877872389,0.2202964083375628,0.0429938600772611,0.1008998175013003,0.6468430429056072,0.2101346933554567,0.0421224462376356
1,0.0810925754391407,0.656064419451397,0.2072254833739642,0.055617521735497,0.0860795623287069,0.6636511117983597,0.2046851594373235,0.0455841664356098
2,0.09834622665197282,0.6289480033347187,0.2327394963665795,0.0399662736467275,0.1064978450872688,0.626475508359679,0.2231264886274168,0.0439001579256353
3,0.0863939148387731,0.6545111541507272,0.2117817083532617,0.047313222657236795,0.0889716129277332,0.661341288220395,0.2035116325886639,0.0461754662632078
4,0.09294428116461141,0.6380196121584844,0.2190107092498857,0.0500253974270173,0.0936477680153182,0.6473753289295996,0.2177429752850079,0.0412339277700742
5,0.7754993146367751,0.1204586586220278,0.0743507613085493,0.0296912654326469,0.8147230417056599,0.120623918886488,0.0509514838861639,0.013701555521688
6,0.786121308207611,0.1457556872998863,0.0436695055701525,0.0244534989223492,0.8091261494126334,0.1387394902090136,0.0381080792229728,0.01402628115538
7,0.8003714918967659,0.1268047372851106,0.0467365701563481,0.0260872006617743,0.841866284835987,0.1093873165813938,0.0357686307041434,0.0129777678784756
8,0.7576633917394664,0.16573312670684623,0.04296993242156124,0.0336335491321254,0.7889757862270478,0.1515090763714355,0.0388247751845233,0.0206903622169932
9,0.8210856135168466,0.1200659581107646,0.03776948474638871,0.0210789436259992,0.8442119743565241,0.1091416191293797,0.0332312512410131,0.013415155273083
