,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.0963596182499506,0.6236341440440454,0.2104047348537171,0.0683377667512423,0.0912099160989241,0.646273224546244,0.2156986849083476,0.0468181744464841
1,0.10108617058873019,0.6077116549935571,0.22412643700393078,0.0645278434888277,0.0890476844679121,0.6319844148789175,0.233237853954342,0.0457300466988283
2,0.1045988520263262,0.6198874636459569,0.2064581900104134,0.0656742675225804,0.096718566132392,0.6504667824512305,0.2104791296358959,0.0423355217804815
3,0.1068996156336684,0.5912026756724873,0.23754059361328328,0.060111469305868,0.0954341039098477,0.620079634417443,0.2423750781316721,0.042111183541037
4,0.0988286108310109,0.6213342476916711,0.2164400701668066,0.060958243808707804,0.0910142378934612,0.6498246282158701,0.219845178065765,0.0393159558249037
5,0.7368961220074508,0.1617404265456723,0.048844482328637806,0.0537205012319551,0.8273551188177791,0.1210537936392531,0.0345027795647322,0.0170883079782355
6,0.7273342551496561,0.17440832338607315,0.08027204166215879,0.022021804502941,0.8153602390861333,0.1355387775722019,0.0339652388820316,0.0151357444596331
7,0.7412003307957881,0.16312222290326509,0.074506321251907,0.0272036413994359,0.8361037777215302,0.1159126499396656,0.0323559585140218,0.0156276138247821
8,0.7254538889158764,0.1587342808563131,0.075184513287037,0.0430480258356451,0.8266223301792622,0.1131984941896895,0.0356243172074788,0.0245548584235692
9,0.7458142888593756,0.1523318685071065,0.0699027761674169,0.0303956702049576,0.8418601876345311,0.1138914784531835,0.0350377987506024,0.0092105351616831
