,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.1075253219816549,0.43564789828519634,0.39033433434978937,0.06649244538335941,0.0929324295101533,0.6331664799563521,0.231190304385257,0.0427107861482375
1,0.1126576230782036,0.41315407017072964,0.40272078464071803,0.07146752211034829,0.0818821706835048,0.6307523747198424,0.2402249837587832,0.0471404708378696
2,0.11030207029589331,0.4302225313686985,0.3979002448600562,0.061575153475352,0.1010163832110229,0.633415878663812,0.2248434525756417,0.0407242855495234
3,0.11392584494113231,0.41856934181652694,0.40199240494344346,0.0655124082988971,0.0923576213552367,0.6494761227421528,0.2159964516248936,0.0421698042777168
4,0.1252259720536698,0.4254526714319035,0.3849987728671745,0.0643225836472521,0.0951104809825593,0.6381421706202883,0.2240964352719542,0.0426509131251981
5,0.1515793257203108,0.38733508608450246,0.3921897455285106,0.0688958426666762,0.7970206473245761,0.1528483144205714,0.0350733479676865,0.0150576902871657
6,0.1548596867895911,0.39548386954096204,0.3874884945469128,0.0621679491225343,0.8379647669720367,0.1167227474686123,0.0320241065227564,0.0132883790365946
7,0.1624830225562389,0.38603708477759485,0.3915347749882344,0.0599451176779318,0.8212311630688862,0.1228856070758594,0.0364663779918803,0.0194168518633738
8,0.154735034389399,0.39356319622818203,0.3908170144701177,0.0608847549123013,0.7906825586859975,0.1640941386202427,0.0336312889873031,0.0115920137064565
9,0.16636182802418997,0.3873382046566169,0.3832350142737486,0.06306495304544431,0.8336580086548385,0.1184352484594205,0.0351381406423054,0.0127686022434353
