LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.0222969665692422	0.0198346067495073	0.0301003377397445	0.0449534151909704	0.0426095740162585	0.0376249312897152	0.0454580061116612	0.0461536564287124	0.0412968621631988	0.040871575896747	0.045661534128583	0.0459665300944404	0.0422013371730974	0.0463687138905628	0.0449214287938824	0.04165233937661	0.0323584395732982	0.0342425135302879	0.0349492642204654	0.0336806542587492	0.0410682579694656	0.0366839828714298	0.034836069862978	0.0352784016939841	0.0400476755243294	0.038882924882079
healthy_sample_1	0.0218117432680905	0.0210287816962017	0.0305089225673459	0.0398303472868518	0.0432351759336618	0.0380697063173908	0.0460316755817594	0.0434312125725118	0.0389746132608802	0.04148181379265	0.0466334758484116	0.0434890851147117	0.0434062476971079	0.0420326968022617	0.0480279774544901	0.0429355461365661	0.0352574290865212	0.0331016735847752	0.0357660399537112	0.0356990880279436	0.0401389790606063	0.0396814861522956	0.0361390135153783	0.0374132518786261	0.0372548754581208	0.0386191419511286
healthy_sample_2	0.0209796640258702	0.0207786369586935	0.0299706835578844	0.0409566045383081	0.0452440253408312	0.039927995708451	0.0456265821094409	0.0445616919431336	0.0373227810347111	0.0420474485441443	0.0481758067720488	0.0454235523832636	0.0437572497590848	0.0428615072810776	0.0460833123675825	0.0439950306804006	0.0337432848891133	0.0332113980505143	0.0307474396840085	0.0341229029789653	0.0394276761595291	0.0374404828659023	0.038117849173424	0.0358809193640426	0.038933338248693	0.0406621355808816
healthy_sample_3	0.0215836678186298	0.0207180871417686	0.0291536448377484	0.0433325699475338	0.0418172402756931	0.041364916029163	0.0449746767037771	0.0426505928830071	0.0388268902398858	0.0407445595803014	0.042471137454911	0.0429017500906098	0.0446300841378638	0.0450066426953929	0.0459079402688164	0.0422694015176666	0.0336661606172202	0.0358089033979007	0.0367147435437659	0.0374632065023556	0.0421796400317349	0.0386216032801399	0.0361941743883507	0.0367579986026748	0.0366154035408019	0.0376243644722868
healthy_sample_4	0.0228576102158008	0.0205084275255252	0.0301959546655214	0.0431640478065171	0.0431505484052003	0.0395287951750729	0.0449716754808584	0.0457145317681954	0.0396569177558835	0.039378241248585	0.0423735870583285	0.0433224190540338	0.0447264859828686	0.0472325307944117	0.0437852588839958	0.0393507598642319	0.0335479315892032	0.0349470692523026	0.0374653855100809	0.0347086346468732	0.0417837198616563	0.0379358808285069	0.0363297681756867	0.0379947233253975	0.0383447599267486	0.0370243351985137
unhealthy_sample_0	0.109909743223293	0.116563238237668	0.0513705164625127	0.0295087173375101	0.0317749666297368	0.0301955709232327	0.0291318133182053	0.028515039229862	0.0308870336891818	0.0349949713493512	0.0290001832764609	0.0277565866247397	0.0324340250437101	0.0284711508705373	0.0307720871448429	0.0308218989752143	0.0386378640684811	0.0421413990957026	0.030667140170388	0.0303995486159714	0.0278971377267379	0.0287541677417316	0.0313951046541613	0.0314166166991257	0.0340777002694901	0.0325057786221513
unhealthy_sample_1	0.0942388455545412	0.110722504042306	0.0481082454489096	0.0302048470675164	0.0321127891255788	0.0361173072773823	0.0326707707306647	0.0310184613847701	0.0304338934301338	0.0330682825580789	0.0316189718008295	0.0292415639831247	0.0334321065311348	0.0323498088746325	0.0320030889954839	0.0309069042321325	0.0367973851471092	0.0415924933360466	0.0326132837784634	0.0300762072543706	0.0288275380547691	0.0301730527482593	0.0298993189822861	0.0310924565161757	0.0381282522718355	0.032551620873465
unhealthy_sample_2	0.10269783793432	0.109309833881499	0.0499535662059879	0.0328776819580058	0.030266327635617	0.0310733119835787	0.0320500901133353	0.0290075110295071	0.0307763838844107	0.0332273440039408	0.0290287570267067	0.032719107463105	0.0345443685824275	0.0313384111178181	0.0307483155358485	0.0316418096884323	0.0367115243890464	0.0415785145644236	0.0319094235499513	0.0309435431777098	0.0271039764660437	0.0300220729339956	0.0310713347395773	0.0298064043507531	0.0349029950549311	0.0346895527290275
unhealthy_sample_3	0.106530092996018	0.115521753737269	0.0495233141404324	0.0297883492108093	0.0320058984952179	0.0332691857696962	0.0295185921719112	0.0293447771317291	0.0295967063673031	0.0332515576242105	0.0281981077222222	0.0276712574915987	0.032374037233629	0.0300406665020696	0.031286857742885	0.0329214035102902	0.0375694403316427	0.043491313334866	0.030246316085205	0.0281798201082642	0.0288203900502432	0.0289477043601196	0.0307301497916693	0.0308458163180624	0.0360657898268468	0.0342607019457896
unhealthy_sample_4	0.106317666545603	0.110580447133867	0.0474967538786484	0.0293847002929728	0.0336141692043576	0.0334566882661709	0.030667804149741	0.0277572044021054	0.0311016293021749	0.0333771436609074	0.0301553855560918	0.0293621051820608	0.0338853810195899	0.0306314348488507	0.0307312400495468	0.0337917359395993	0.0363475977689898	0.0405107420026258	0.0317056285301471	0.0308911766187992	0.0271079799262246	0.0304220611375709	0.0303330773031619	0.031586584676713	0.0367726172424203	0.032011045361059
