Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.017186148060874443	0.08234843114200997	0.0	0.10663577029441239	0.05330020227896895	0.05350491060488394	0.066193725805107	0.06914585037588632	0.030458515084246546	0.08090000569830198	0.09241140893061987	0.06910579036486827	0.04688574235088852	0.01836583780209911	0.10383616262771041	0.06050023416030033	0.016202562486656177	0.030867849113693696	0.04558560168998024	0.034342140513927324	0.06568402618762238	0.046052456795519205	0.054359220957871345	0.008127267371711863	0.03614909432713707	0.02349076207553289
healthy_sample_1	0.043204217841109525	0.07846812801068356	0.0004339446770244528	0.12519175724846499	0.05964790643481375	0.04455119936019724	0.05596817784992151	0.06089590884235609	0.030550016801062462	0.0833679084133806	0.11184628373618442	0.07664329303716451	0.05122327054957488	0.010943768329842774	0.1106816582666886	0.05242187040076259	0.007332041338049944	0.02888987019832874	0.04919619249200716	0.03085596656879336	0.06040021462573631	0.05031485218673883	0.05966612848078017	0.0	0.031044701910571647	0.013042062139196352
healthy_sample_2	0.03014434717430723	0.08279677025103693	0.0006439496129082122	0.11120856919409401	0.06290574341162596	0.048493470867803506	0.08259705835881835	0.06394094666373502	0.035995032697241566	0.06866527323360762	0.09381243981913621	0.08872962526422347	0.04422790005128051	0.01311215464626597	0.10464484881938722	0.058721266874580805	0.014427342428400616	0.022474264801934363	0.03982671259613979	0.030712236009707548	0.06459227960013433	0.043847978326276536	0.05052463244697602	0.0	0.044998195642059945	0.01250547378810257
healthy_sample_3	0.037509055475007484	0.07991189589205114	0.0018557257004646382	0.11326189549710979	0.05896023856282417	0.0580240828102612	0.07043347768390318	0.08058892232565325	0.02726262716707206	0.07344042951577155	0.08774373280840302	0.07816848352040878	0.04487977983723058	0.02016474039960238	0.10337557051374663	0.05087851699986885	0.011423010917053054	0.02268945251748148	0.04257171507601678	0.03339351121143821	0.05975758383088275	0.04878595877534263	0.04935580112663784	0.0	0.04735723321119792	0.015821404163592862
healthy_sample_4	0.04171865162864142	0.07629888423144367	0.0	0.10029693547672375	0.048712103610571295	0.04676188905697697	0.09041571734339807	0.06272195540920902	0.03069688916360349	0.07567246476230631	0.08476095874216207	0.08956030392040892	0.044563171586513135	0.019312281370040985	0.09480061413141741	0.061194970422756595	0.010586841616592546	0.022469192950374767	0.05266026042034484	0.02722693221665986	0.06252599024927741	0.04764146354273847	0.06323907242423077	0.0	0.04208433153857838	0.021619827992688804
unhealthy_sample_0	0.45021981664798455	0.5081134094506846	0.0	0.012342105756892461	0.04343237926963462	0.011720612244238428	0.01301343691534983	0.0	0.0	0.0	0.0	0.0	0.027418743236034854	0.01869760283948034	0.036644170769668624	0.0031908299196025287	0.013912232208534077	0.022729346618977443	0.01628751961090268	0.0	0.013309020932875346	0.004121336744821358	0.0	0.007160987390624807	0.0513798334919683	0.0
unhealthy_sample_1	0.4463299930512502	0.4629362749577751	0.0	0.0	0.039638283830062966	0.024625215387458942	0.0646442776422398	0.0	0.0	0.0	0.015165195251806391	0.013456534337250721	0.018939457490800504	0.000513148213963674	0.009469713160680474	0.03162255159876142	0.005312163188949186	0.006492631040683883	0.02301597607588701	0.010364215021610407	0.010943160645279462	0.008827782145724944	0.0	0.0009595439774342609	0.06282354851548147	0.0
unhealthy_sample_2	0.456896304681013	0.5169593241313915	0.0	0.012121783252431883	0.027242262666901884	0.0	0.0199034754481744	0.009058806777375401	0.0	0.008337204049783033	0.010141499820271823	0.0044707918609491705	0.021171701742159738	0.011407474379970178	0.08048829458068513	0.00043952339662237626	0.009935813245645289	0.0028894525848394965	0.009042644476300453	0.0	0.01070208698490412	0.0	0.0	0.0	0.06335907100255854	0.0
unhealthy_sample_3	0.4606537970550722	0.49568096114754895	0.0	0.008380420293833001	0.040018475451162244	0.006347522062655161	0.0038862245584658796	0.005487108843635802	0.0	0.0	0.0	0.011051120892278256	0.025512773027430186	0.028148295162701214	0.0	0.0	0.01938122520082239	0.007205438289377241	0.034010366042146044	0.003000943658791248	0.010773184675867234	0.010480461839853088	0.0	0.0	0.08288587473617509	0.0
unhealthy_sample_4	0.44317144042090456	0.4839327161273473	0.0	0.028318012081611693	0.03533870135117609	0.02392105776695697	0.043226341879299496	0.00615549066766075	0.0	0.0	0.010682822428091437	0.0	0.032656401290528145	0.009281257777921863	0.01500095316647167	0.0045111247327611174	0.01634961697946208	0.005354958061613302	0.012264254776931325	0.00481055531532791	0.01177167166974326	0.0046969081668576315	0.003460288460375085	0.0	0.06274440214656592	0.006386242353282735
