Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.001394457686078803	0.001820834114697815	0.0	0.0011387918895264715	0.0023555186432634846	0.0	0.0028485563868386014	0.00277946243526314	0.0	0.00143859802148351	0.0020593318848113194	0.002162357673659698	0.0037395098907556106	0.0008553342960622068	0.0017273592081246205	0.001201036101012653	0.0004897401405649925	0.000686954101598102	0.000976190153942882	0.0	0.002466341192346303	0.0016968775956016351	0.0006811034185688133	0.0009501672029036499	0.0010935002257714756	0.0010566895387218195
healthy_sample_1	0.001539175781720768	0.0010973270322912078	0.0	0.0009370043578889909	0.003032983740106402	0.0	0.003214757243436357	0.002339071588378425	0.0	0.0021073651130992604	0.001404048063735887	0.001982287191840216	0.003179808822771921	0.0011244917590085722	0.002108759914112128	0.0016037103140684847	0.00042036241585982495	0.0005334595477732902	0.0007765146853729716	0.0	0.002239991863188349	0.0021411443270856773	0.0006661580326803828	0.0007263262653930719	0.0013628288386869762	0.0010378894158028459
healthy_sample_2	0.002064513591156818	0.0014117480823477916	0.0	0.000793638583402648	0.003281021751953695	0.0	0.002671706304640613	0.003483040144003736	0.0	0.0017196701841418049	0.002003839877370897	0.0014587695133039358	0.0030517188544728624	0.0011996716419783717	0.002215065726022433	0.0017713779074754136	0.00046214869905164156	0.00045675122863701685	0.000790679836108591	0.0	0.0015746761400601502	0.0017224795085521588	0.00038195220613381777	0.0007424349383774924	0.0014580650348964162	0.0008433706008757918
healthy_sample_3	0.0015841283064594138	0.0015212193464568763	0.0	0.0007736125160926988	0.003097379644908808	0.0006551461011341251	0.002372687668067472	0.002879768763233384	0.0	0.0017842825443458187	0.002088171037290553	0.0018781957589286752	0.0033519396435689806	0.0008892530171195505	0.002097365769702202	0.0014540763161173076	0.0007923399910695914	0.0002717214310740795	0.0010614371021731737	0.0	0.0018593976378444444	0.001969289317607025	0.000492948377997377	0.0005995602617316382	0.0011664928337150869	0.000998825126647241
healthy_sample_4	0.0016467847108659643	0.0017358244342991697	0.0	0.0011262421898111537	0.0028005172021447165	0.0	0.0039732555115983715	0.0027186098554023764	0.0	0.0015981744179321194	0.0014121225535029458	0.0017666760737411517	0.0037272850310971547	0.0005434619348140186	0.0019907328876978313	0.0018701061588137996	0.00045192567949840654	0.0006916309281470151	0.0007685277165519742	0.0	0.001951645850312403	0.0016316044447332236	0.00041998217082455785	0.0008426851954260096	0.0010335872551180808	0.0009064510891852681
unhealthy_sample_0	0.013540728212791939	0.016322339005763863	0.0	0.00026399854705221396	0.00020366047833056858	0.0	0.0005979229338118035	0.0006971724598556956	0.0	0.0003081874080983631	0.0	0.0005067900359079399	0.0010051518945763652	0.0	0.0004294154117094359	0.0004190450731082093	0.0004765493333457396	0.00018136959466464518	0.00010155853964081697	0.0	0.0	0.0	0.0	0.0	0.0002264770203599639	0.0004120936243727292
unhealthy_sample_1	0.009466261085861693	0.0190708806370597	0.0	0.0	8.683949870496032e-05	0.0	0.0002914263659782108	0.0007832609699902209	0.0	0.0007207672479803773	0.00024984477459889744	0.0008731208270930857	0.0010645616597430951	0.0	0.0006298323780664275	0.0005083302167392643	0.0008534587945742512	0.0003542669612909692	0.00020775639045518215	0.0	0.0	0.0	0.00021397154481907657	0.0	0.00018560009412513305	0.00024512261138257994
unhealthy_sample_2	0.012295884342463932	0.01588396244149052	0.0	0.0	0.00030301169763636356	0.0	0.00011838369935233882	0.0011058836799799113	0.0	0.0007973644057411737	0.00010524819284254741	0.00043106048011506704	0.0015435584355609343	0.0	0.00023049098520909537	0.00033823775814836177	0.0008668752877403097	0.00034542288709947506	0.00025144983071574895	0.0	7.084242178910315e-05	0.000179812595334625	0.0	0.0	0.00014899819683014857	0.0006771000537406674
unhealthy_sample_3	0.011667849263473784	0.017752589262299865	0.0	0.0	0.00027330283494017554	0.0	0.00018264197018522482	0.0010235435842362028	0.0	2.8813350865903023e-05	0.000513185050395748	0.0	0.0013725929560345755	0.0	0.0003772034741283101	0.0004498877788555379	0.00034946969145856633	0.0005492757354925897	0.00022930920845923633	0.0	0.0	8.826929822044669e-05	0.0	0.0	0.0007643091424356642	8.547945491419942e-05
unhealthy_sample_4	0.009926838699253166	0.01963246594326308	0.0	0.00023668810309140413	0.0006879283342331346	0.0	0.00044968759792668065	0.001018705602171234	0.0	0.0002173700051353397	0.00021017525177408625	0.0	0.0008102510152242595	0.00022077317099939917	0.0001959289535265242	0.00018387344848058351	0.0005163872390125054	4.786342619658387e-05	0.0	0.0	0.0	3.598574408207283e-05	0.0	0.0	0.0011281687807773526	0.00029197969975640857
