,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.0997071857036475,0.6580206562045932,0.19841438186096683,0.0438577762307927,0.1008998175013003,0.6468430429056072,0.2101346933554567,0.0421224462376356
1,0.08239315274850019,0.675516102930101,0.18546899248168996,0.0566217518397087,0.0860795623287069,0.6636511117983597,0.2046851594373235,0.0455841664356098
2,0.09764804675085129,0.6519544953888217,0.2091329745191799,0.0412644833411471,0.1064978450872688,0.626475508359679,0.2231264886274168,0.0439001579256353
3,0.0885622014371727,0.6739709694424051,0.18725959491532052,0.0502072342051019,0.0889716129277332,0.661341288220395,0.2035116325886639,0.0461754662632078
4,0.0925353212283912,0.6609763762421771,0.194216527758232,0.0522717747712001,0.0936477680153182,0.6473753289295996,0.2177429752850079,0.0412339277700742
5,0.769374054878665,0.13579727652312013,0.0705945234702,0.024234145128014098,0.8147230417056599,0.120623918886488,0.0509514838861639,0.013701555521688
6,0.780438644729289,0.15824769157600602,0.04082698016286,0.0204866835318452,0.8091261494126334,0.1387394902090136,0.0381080792229728,0.01402628115538
7,0.787472908528269,0.1344746635625334,0.044393593119240606,0.033658834789956696,0.841866284835987,0.1093873165813938,0.0357686307041434,0.0129777678784756
8,0.736490924278928,0.1796473232411563,0.04985040331865866,0.0340113491612565,0.7889757862270478,0.1515090763714355,0.0388247751845233,0.0206903622169932
9,0.8118954868180359,0.1315316588200576,0.0382881542938452,0.0182847000680606,0.8442119743565241,0.1091416191293797,0.0332312512410131,0.013415155273083
