B-cell,CD4 memory,CD4 naive,CD8 central memory,CD8 effector memory,CD8 naive,NK CD16+ CD56dim early,NK CD16+ CD56dim late,NK CD16- CD56bright,T-reg,TEMRA,conventional DC2,dead cell,dg or MAIT,erithroid,hspc,monocyte 1 (CD14+),monocyte 2 (CD16+),plasma cell,plasmacytoide DC
0.8857466063348416,0.03789592760180995,0.020361990950226245,0.0,0.009615384615384616,0.0005656108597285068,0.0,0.002828054298642534,0.0005656108597285068,0.002828054298642534,0.009615384615384616,0.0,0.016968325791855202,0.0016968325791855204,0.0,0.0005656108597285068,0.010746606334841629,0.0,0.0,0.0
0.6669565217391304,0.07130434782608695,0.03217391304347826,0.0,0.02,0.008695652173913044,0.0,0.00782608695652174,0.0,0.0017391304347826088,0.04,0.00608695652173913,0.02782608695652174,0.004347826086956522,0.0,0.0,0.10347826086956521,0.009565217391304347,0.0,0.0
0.41274238227146814,0.2077562326869806,0.06509695290858726,0.0,0.04293628808864266,0.012465373961218837,0.0,0.02631578947368421,0.0,0.002770083102493075,0.06509695290858726,0.0013850415512465374,0.06371191135734072,0.012465373961218837,0.0,0.0,0.08310249307479224,0.004155124653739612,0.0,0.0
0.9429530201342282,0.0,0.003355704697986577,0.0,0.0,0.006711409395973154,0.0,0.003355704697986577,0.0,0.003355704697986577,0.006711409395973154,0.0,0.026845637583892617,0.0,0.0,0.0,0.006711409395973154,0.0,0.0,0.0
0.736734693877551,0.0326530612244898,0.006122448979591836,0.0,0.004081632653061225,0.0,0.0,0.012244897959183673,0.004081632653061225,0.0,0.030612244897959183,0.0,0.16938775510204082,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0
0.9237623762376238,0.0029702970297029703,0.0019801980198019802,0.0,0.0009900990099009901,0.0,0.0,0.01287128712871287,0.0,0.0,0.0029702970297029703,0.0,0.04356435643564356,0.0019801980198019802,0.0,0.0,0.00891089108910891,0.0,0.0,0.0
0.8644168146832445,0.027235050325636473,0.009473060982830076,0.0005920663114268798,0.011841326228537596,0.0005920663114268798,0.0,0.0041444641799881585,0.0011841326228537595,0.0005920663114268798,0.02427471876850207,0.0011841326228537595,0.046773238602723505,0.0,0.0,0.0,0.004736530491415038,0.002960331557134399,0.0,0.0
0.9319029850746269,0.012126865671641791,0.0,0.0,0.007462686567164179,0.0,0.0,0.0046641791044776115,0.0,0.002798507462686567,0.0065298507462686565,0.0009328358208955224,0.025186567164179104,0.0,0.0,0.0009328358208955224,0.0046641791044776115,0.002798507462686567,0.0,0.0
0.9446254071661238,0.008143322475570033,0.0024429967426710096,0.0,0.0016286644951140066,0.0,0.0,0.0024429967426710096,0.0,0.0008143322475570033,0.0,0.0,0.033387622149837134,0.0008143322475570033,0.0,0.0,0.005700325732899023,0.0,0.0,0.0
0.8210862619808307,0.022364217252396165,0.0,0.0,0.01757188498402556,0.0,0.0,0.011182108626198083,0.0,0.006389776357827476,0.04952076677316294,0.0,0.025559105431309903,0.0,0.0,0.0,0.03354632587859425,0.012779552715654952,0.0,0.0
0.9297820823244553,0.00887812752219532,0.004842615012106538,0.0,0.0016142050040355124,0.003228410008071025,0.0,0.0016142050040355124,0.0008071025020177562,0.005649717514124294,0.004035512510088781,0.0,0.02744148506860371,0.0008071025020177562,0.0,0.003228410008071025,0.005649717514124294,0.002421307506053269,0.0,0.0
0.6606060606060606,0.058787878787878785,0.06666666666666667,0.0,0.017575757575757574,0.005454545454545455,0.0,0.024242424242424242,0.0006060606060606061,0.0006060606060606061,0.08424242424242424,0.004242424242424243,0.01575757575757576,0.0018181818181818182,0.0,0.0006060606060606061,0.0503030303030303,0.008484848484848486,0.0,0.0
0.9687936655798789,0.008849557522123894,0.0009315323707498836,0.0,0.007918025151374011,0.0004657661853749418,0.0,0.002328830926874709,0.0,0.0009315323707498836,0.0009315323707498836,0.0004657661853749418,0.002328830926874709,0.0,0.0,0.0,0.0055891942244993015,0.0004657661853749418,0.0,0.0
0.8405093996361431,0.008489993935718617,0.0036385688295936932,0.0,0.0006064281382656155,0.0036385688295936932,0.0,0.0,0.002425712553062462,0.0006064281382656155,0.001212856276531231,0.001212856276531231,0.13462704669496664,0.0,0.0,0.001212856276531231,0.0006064281382656155,0.001212856276531231,0.0,0.0
0.6735395189003437,0.09392898052691867,0.051928216876670485,0.0,0.009545628102329133,0.009927453226422299,0.0,0.023673157693776252,0.0,0.0057273768613974796,0.004200076365024819,0.003436426116838488,0.033218785796105384,0.0057273768613974796,0.0,0.00038182512409316535,0.07712867506681939,0.007636502481863307,0.0,0.0
0.9308108108108109,0.017297297297297298,0.006486486486486486,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.003243243243243243,0.001081081081081081,0.0,0.02810810810810811,0.0,0.0,0.0,0.005405405405405406,0.002162162162162162,0.0,0.0
0.9320271891243502,0.007996801279488205,0.0011995201919232307,0.0,0.0023990403838464614,0.00039984006397441024,0.0,0.0027988804478208716,0.00039984006397441024,0.009996001599360257,0.013994402239104359,0.00039984006397441024,0.01599360255897641,0.0,0.0,0.0,0.008796481407437025,0.003598560575769692,0.0,0.0
0.9180859691808597,0.0113544201135442,0.0056772100567721,0.0,0.006488240064882401,0.0,0.0,0.0032441200324412004,0.0,0.0016220600162206002,0.0016220600162206002,0.0,0.0454176804541768,0.0040551500405515,0.0008110300081103001,0.0,0.0016220600162206002,0.0,0.0,0.0
