Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_1	0.00041228564348667944	0.00041022411387279265	1.5257837271717842e-05	0.00023378405661074833	0.0009084081110892879	0.00014452359147776477	0.0008350583308526454	0.0006338546520150368	9.121164302815418e-05	0.0005637759073031204	0.00028044915190319716	0.0006580661177363928	0.0008103752125704555	0.0002741223881830955	0.0005676258290531027	0.0003379620154362962	1.7690106815174444e-05	0.00010146743521972375	0.0002262353124471464	0.00018947607997020033	0.0007910299639932784	0.0007425402742796206	0.00015997429133154023	0.0002442748831765434	0.00031752867605845604	0.0003719008880833764
healthy_sample_2	0.0005537506175391084	0.0005274934445692688	0.0	0.00019379525077983575	0.0008183473771242307	0.00016421352806757808	0.00066442363087268	0.0009319687283556741	7.158081599331544e-05	0.000537633636961777	0.0004340666656444806	0.0006184455553190771	0.0007768134813925689	0.00029208767331862916	0.000645800183560244	0.00038182434871660925	0.0	9.693651867618179e-05	0.00019480336421062432	0.000149995744645835	0.0006256308152572542	0.0006497649305633952	9.983833193998142e-05	0.00022301118102764628	0.0003453197842768376	0.0003408046218992229
healthy_sample_3	0.0004604887958338286	0.0005587979326333699	2.113084208306008e-05	0.00012931917367429858	0.0008583487774451344	0.00029757755301472347	0.0006913040835936976	0.0007257067366876539	0.00016763827626957588	0.00048481728804704104	0.0004709246763252317	0.0005799849777414986	0.0008559624559511505	0.0002565735076158569	0.0005350807654414479	0.000383587627405395	6.0322409046443286e-05	5.9705577945116974e-05	0.0002314615069904925	0.00019270949742209386	0.0006956709405385439	0.0006447968728150654	0.00013989669532137917	0.00026522100952353826	0.0002656367453401013	0.00031074548393607895
healthy_sample_4	0.00042309185264396434	0.0005805342658897104	0.0	0.0002655481018073558	0.0007744639183767254	0.00011153496373176397	0.0010001669731408475	0.000801144983206375	5.456812872348466e-05	0.0004955523942510488	0.0002989077741985235	0.0005767704630310777	0.0009722310315746218	0.00015136004435428523	0.0005253667903918571	0.0004912649004867116	6.35798645830203e-05	0.00010127775268732002	0.00017625138218799348	0.00017694224118175418	0.0007230185415578603	0.0005931547912616057	0.00012806165559748966	0.0002626522048091643	0.0002857274868604794	0.0002981067309123752
unhealthy_sample_0	0.0036894735264304	0.004658932321202609	0.00010273683445563144	0.0	0.0001747680647905162	5.523986656448553e-05	7.997870793067542e-05	0.00017995350814119782	6.757578664831428e-07	0.00011267631877305295	0.0	0.00019164416759519796	0.00017490137390999025	0.0	0.00019770240209931601	8.244168054309833e-05	6.765036609513738e-05	3.069026681058352e-05	8.337115629142633e-05	1.8647425604659676e-05	0.00011597589231643201	0.00011499130019279186	2.2726162941316044e-05	0.0	3.0662934597173536e-05	0.00014391519839906125
unhealthy_sample_1	0.0027294244390171237	0.005299777914059484	0.00012056571066499836	0.0	7.851265269826058e-05	3.444346294223816e-05	6.624782878555157e-05	0.00015451359732080198	5.4740647269317396e-05	0.0002264789204918531	0.00010435139590427244	0.0003343174033068781	0.0001298677385800015	2.1575976816213354e-05	0.00012412247848202538	0.00014232929151217108	0.0001366887954615501	6.851392953798005e-05	6.73502886596835e-05	6.40474057930502e-05	0.00015231613950351125	4.788734278693013e-05	9.461922859575535e-05	0.0	1.1467906609724187e-05	0.00011344134713975427
unhealthy_sample_2	0.003424519349834347	0.004554269276943901	0.00013945897519438368	2.0786497828482933e-05	0.00013935397335852845	0.0	8.306527337032311e-05	8.068632808569497e-05	0.0	0.00023595199964775198	0.00011770716414193697	0.00019918519816445343	0.00024349709017318052	0.0	5.112771739012187e-05	0.00015734360057851894	9.818467468538919e-05	0.0	0.0001307719716910047	4.421315359608627e-05	0.00017787289166924225	0.00012443521426187115	8.517291110674783e-06	0.0	0.00011116804131161213	0.00018680513549121323
unhealthy_sample_3	0.003287143019774966	0.00501289012985613	3.056605873440094e-05	0.0	0.00016140969185922638	0.0	0.00014948239565244496	0.00017111348865881754	0.0	0.00013973386588675248	0.0	7.614929519036447e-05	0.000292468670829361	0.0	5.7537765162782766e-05	9.940956274535713e-05	0.00011546498008644996	5.2425279941743906e-05	0.0001276390085194829	2.5199999916749424e-05	0.0001464671947409587	0.00014015701650331978	1.5855337349296674e-05	0.0	0.00017184366207179656	5.6236946143822145e-05
unhealthy_sample_4	0.0028838602027558297	0.005450889405343622	4.069828866436846e-05	0.00012193322468117431	0.000244719291673588	8.262295394426377e-05	0.00021148129355235583	0.00028435356970793436	0.0	9.75165747555017e-05	0.0	0.0	0.00013563476288498637	0.0	5.057816766457138e-05	9.167767300988648e-05	7.685698150499543e-05	7.700763481419054e-06	3.917058806382111e-05	0.0	0.0001438390323376864	9.654670848951432e-05	0.0	0.0	0.00017600249580973536	9.808859808477906e-05
