,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.2347773204656485,0.2793222774831858,0.2611540210657408,0.2256293084747011,0.25,0.25,0.25,0.25
1,0.2237857272709086,0.2638906696970478,0.25815655651148356,0.255928732379176,0.25,0.25,0.25,0.25
2,0.8658013040865551,0.0724404525866214,0.052897165350501096,0.0169689736363705,0.97,0.01,0.01,0.01
3,0.8743130111922781,0.055592191758701906,0.0631408864612161,0.0163613802293232,0.97,0.01,0.01,0.01
