,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.1159232875478941,0.4185201539515372,0.40681076348491735,0.0587457950156515,0.1008998175013003,0.6468430429056072,0.2101346933554567,0.0421224462376356
1,0.1148610741863461,0.43003449566465035,0.3928622712753434,0.06224215887366,0.0860795623287069,0.6636511117983597,0.2046851594373235,0.0455841664356098
2,0.1240611249022376,0.41479713372166416,0.3970231915525221,0.0641185498235761,0.1064978450872688,0.626475508359679,0.2231264886274168,0.0439001579256353
3,0.1093616340008178,0.42495554531699964,0.40112427290409275,0.0645585477780897,0.0889716129277332,0.661341288220395,0.2035116325886639,0.0461754662632078
4,0.1049646940647817,0.43024066370440767,0.4011724106899312,0.0636222315408797,0.0936477680153182,0.6473753289295996,0.2177429752850079,0.0412339277700742
5,0.1584633795834387,0.3879018616758913,0.394150687793695,0.0594840709469746,0.8147230417056599,0.120623918886488,0.0509514838861639,0.013701555521688
6,0.1538634933772674,0.3923939074684185,0.3846405246159241,0.06910207453839,0.8091261494126334,0.1387394902090136,0.0381080792229728,0.01402628115538
7,0.1617155576723308,0.3819507643034964,0.39329709146848146,0.06303658655569161,0.841866284835987,0.1093873165813938,0.0357686307041434,0.0129777678784756
8,0.1511639934664462,0.3977227029367193,0.38363640052803183,0.06747690306880261,0.7889757862270478,0.1515090763714355,0.0388247751845233,0.0206903622169932
9,0.1554807535101636,0.3983091516698313,0.3853852089685335,0.0608248858514716,0.8442119743565241,0.1091416191293797,0.0332312512410131,0.013415155273083
