,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.1032224492067104,0.6306648533541894,0.2151499629139151,0.0501649830253173,0.101651944188535,0.6310633211737308,0.2187300405253487,0.0485546941123854
1,0.10473086219957659,0.6204100638777624,0.22044700067964632,0.0517808367579847,0.0994929425792668,0.6341380591614546,0.2284429328221356,0.037926065437143
2,0.1029900157171514,0.6372019613962739,0.20923040229560588,0.0488446146731852,0.1015551694894734,0.6434319638703234,0.2128964614172694,0.0421164052229336
3,0.0904125282685003,0.63486318440172,0.22228119415301348,0.054182678555354996,0.0864884155268577,0.6415012204147961,0.2234636936157653,0.0485466704425808
4,0.1005592153298902,0.6431663433349538,0.19797165511601317,0.0568293516820163,0.0974008621302208,0.6591297513517835,0.201601327906454,0.0418680586115415
5,0.7906539283430339,0.1368494447330109,0.0489300016039745,0.0274422472930217,0.8253321546439528,0.1202264663532964,0.0383243144021994,0.0161170646005513
6,0.8039174244358207,0.1393401811746531,0.038733920186496594,0.0195991416517313,0.8087564000581994,0.137167197157356,0.0348319772433296,0.0192444255411149
7,0.8048324908129374,0.1268798089555242,0.049879676570406505,0.0221180118292679,0.8321782416936284,0.1150496145439193,0.0366139551256475,0.0161581886368045
8,0.8151931919494201,0.1357181424488372,0.0278170840579428,0.0230208890056479,0.8362750812278313,0.1250504007189152,0.0270103779920807,0.0116641400611726
9,0.7719270553239695,0.1521838143664814,0.0508262979106864,0.0300885837494562,0.8108671420774433,0.1425279336277247,0.0331521307547356,0.0134527935400963
