Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state	P-value	Correlation	RMSE
healthy_sample_0	0.0595950537540256	0.0379170647739019	0.0195401056878362	0.0254236211018483	0.0613346329644955	0.0315603124046707	0.103127618672936	0.0207240966819367	0.0310842603452674	0.0414929410921721	0.0189263919708796	0.0727800349484007	0.068048373650039	0.0661078565800369	0.050303179744452	0.0381986547434423	0.00633051051860333	0.00305905388607098	0.0145932455324309	0.0201972172634164	0.0741532268498426	0.0621491074389935	0.0115427767545965	0.0155210048720672	0.0138446942245697	0.0324449635430678	0	0.998544377643747	0.0921149245517708
healthy_sample_1	0.0563312924870953	0.0242598701186657	0.0183970730980215	0.0191729491105029	0.0841364715155899	0.0149588594690778	0.119178892035322	0.0258244041152926	0.0132550535373441	0.0737927156468943	0.0310266589370086	0.0363394573744843	0.071342870019161	0.0520636103055624	0.0591674762817244	0.0404472291715794	0	0.00621784563570058	0.0138752341454308	0.0212745273098383	0.0730877767385517	0.0644838145161944	0.0029891358691809	0.0218949992765177	0.0255852476427469	0.0308965356425127	0	0.998738948716523	0.0877419042126633
healthy_sample_2	0.0648010172901975	0.0317321741009524	0.0179585157361781	0.0168114068874702	0.0688996011772926	0.0182702766049234	0.1201104720757	0.0378057193172544	0.021541799050141	0.047008636573429	0.0214337286771847	0.0633156949359783	0.07408725687115	0.0263468280722419	0.0627254686920305	0.0420823615774597	0.000555822300110969	0.00642902381639387	0.0143385820177105	0.0219214770817321	0.0811708249273395	0.0715983454043625	0.00852306369932563	0.0181197463723258	0.0215335761787171	0.0208785805623978	0	0.998883125558192	0.0894919402928529
healthy_sample_3	0.0580242695621156	0.02852483243209	0.0190065233901892	0.0236238202025152	0.0768007249490195	0.0264479992577698	0.121121560710273	0.0199161849478862	0.0190480531306206	0.0611090341605287	0.0230689910652386	0.0452196220439111	0.0699991672076302	0.051765916715386	0.0542976007591408	0.0463128049240526	0.00237489835863992	0.00227595896352	0.0100740475731055	0.0232038173934405	0.0719317242624598	0.0671377441620481	0.00693609163059595	0.016798054171289	0.0202101442521411	0.0347704137743932	0	0.998645751211433	0.0894985120131389
healthy_sample_4	0.0650830553676557	0.0265177108217237	0.0178862433385766	0.015426278072308	0.0858789957805681	0.0256996549896467	0.114084829076204	0.0421794418643452	0.0167863486171484	0.0489674418404172	0.0268976112640604	0.0501186944151805	0.0486426489807822	0.0543838842146242	0.0685339705862898	0.0277742913212319	0	0.00493503628403768	0.0128164028665023	0.0222818450476466	0.0769564377198266	0.0690297023186476	0.006217952836554	0.0194022553560005	0.0245467131558008	0.0289525538642215	0	0.998602483634823	0.0915284517067723
unhealthy_sample_0	0.369217315217469	0.335330262594409	0.0489157813857515	0	0.0294414976816115	0.0111757655631998	0.0121068986904002	0	0.0177858527280364	0.011037221371222	0	0.0320186976703574	0.0179459538214614	0	0.0102485675238535	0.00515607864946389	0	0.00241540176494115	0.0101203383105069	0.0164413892296363	0.0267637032126308	0.0195402711021383	0.00112630010241479	0	0.00552844356464636	0.0176842598158499	0	0.993715822859267	0.126369006663106
unhealthy_sample_1	0.416192470667513	0.310765457571437	0.0453173601396787	0	0.0351257078007503	0.0104836500502402	0.0266578953204987	0	0.00674810303220858	0.0078840059809413	0	0.0122827146544362	0.0161203801014524	0.0135833365658034	0.0104311146462716	0.00909407163442121	0	0.00549906260100895	0.00191601265049864	0.0119434143836792	0.0256828606747455	0.0139034908259687	0	0.000563659456644357	0.00164928615520455	0.0181559450865976	0	0.996069097497128	0.104599568629208
unhealthy_sample_2	0.413617522733047	0.313981304814682	0.0487452485922148	0	0.0423434461261658	0.0202227686021243	0.0237271400090416	0	0.00376310996907154	0.0114330294089916	0	0.0100118041211016	0.0104926145191144	0	0.00323960591755003	0.00459182954225264	0	0.00163433538147204	0.00821470353803671	0.0094105008809101	0.025911496232179	0.0141396770989143	0	0.00634171155876446	0.00962131654883448	0.018556834405532	0	0.992647505896807	0.132919556333923
unhealthy_sample_3	0.451804622303641	0.224778523399751	0.0547185818827513	0	0.0577891278028979	0.0145536832948554	0.0223022798530247	0.0116732209240731	0.0107947553661481	0.0143262345603159	0	0.00528432719663705	0.0090530314506497	0.00483650902792288	0.0160752116795855	0	0.00494690474991363	0	0.0120525069595832	0.00778165742445546	0.0251114048419823	0.0136015634922089	0	0.004363098467967	0.00462623990229466	0.0295265154193407	0	0.988048500820471	0.16346868081555
unhealthy_sample_4	0.463638678241343	0.276389063555333	0.0467643100294106	0	0.0276551650757436	0.0081506598781679	0.0183482378508956	0	0.00966731793274925	0.0138667635871146	0	0.0169930957863485	0.0207284516413613	0.00407901216000375	0.00941540873341028	0.00701932008122838	0	0.00454334471156935	0.00528655639502735	0.0135323672811532	0.0245701289945701	0.0105929683662427	0	0	0	0.0187591496983274	0	0.995040629394759	0.113810427811161
