Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state	P-value	Correlation	RMSE
healthy_sample_0	0.0465971030497813	0.033756471883052	0.00024750599971438	0.0327908913503088	0.0704288604495159	0.00940968216424709	0.0918814188166484	0.0549796449489539	0.00413321616641594	0.0717351168073149	0.0275234142857078	0.0502905095308722	0.0856162866810535	0.0213779023446489	0.0674751357255727	0.0427766066367075	0.00682654447960136	0.0154090723517579	0.0226340713060635	0.0174449376310294	0.0796487646218934	0.0662335964190129	0.00704047415020278	0.0251975881121152	0.0237719616588391	0.0247732224289692	0	0.999385384996544	0.0728725305868438
healthy_sample_1	0.0567257047932191	0.0451173141276874	0.00129085610662755	0.0298797735619997	0.0648837217493778	0.00679686335024628	0.0719933750320709	0.0710262044333663	0	0.0692466520939365	0.0244963955309752	0.0357460152003813	0.0917620612226613	0.0301860495203014	0.0748392175970254	0.0372065495225914	0.00638252170492301	0.0123304493071107	0.0168362527634231	0.0192098624014353	0.0751984700676726	0.0672224434103247	0.00920230677099396	0.0257872366651676	0.0285754113832077	0.0280582916832739	0	0.999132146999768	0.0755244287405017
healthy_sample_2	0.0509853686233411	0.0436148062366544	0	0.032468550554141	0.0770056832631057	0.0081708393829424	0.087894811601496	0.0670383963399739	0.00203733555578966	0.0830914279965188	0.0304668803374407	0.0327913129446864	0.0871795524759873	0.0399797807092778	0.0675453852474217	0.0489954419746317	0.00485429751136877	0.0118720590283751	0.0151251868539928	0.0148440458569185	0.0629642420066559	0.049583421710986	0.00666542209390365	0.0238343960722754	0.0226864353269224	0.0283049202951933	0	0.998975939407632	0.0715417672882138
healthy_sample_3	0.0501577607495386	0.0388543527602828	0.00418498897311614	0.0322612533984833	0.058711456326185	0.00856926784992516	0.097040716664085	0.0386362579594935	0.00595850000610483	0.0730181914826256	0.0411769475816011	0.0424412711057993	0.0872502025767037	0.0227461750244537	0.0746222270667325	0.0417301884516508	0.00247765075663373	0.0158374572389157	0.0187786012071679	0.0206966985386949	0.0767994870622413	0.0676432757063732	0.0143511920182413	0.022353527696454	0.0240065957339695	0.0196957560645273	0	0.999075353247572	0.0774696982054038
healthy_sample_4	0.0391368773705323	0.0447315468262727	0.000967226990612563	0.0321432962075362	0.0660533187760479	0.00984534885959465	0.0860941917381735	0.0469011381592125	0	0.0644740866956954	0.0338340509030765	0.0388026027484596	0.0687563384536983	0.0667795048359423	0.0798102574137404	0.0285308166787725	0.0120146077079721	0.0128820985745707	0.018361382930296	0.0174629391021517	0.0904156050037396	0.0596259295751804	0.00790631309664862	0.0288162320685001	0.0202282160258881	0.0254260732576854	0	0.999283821456771	0.0760458281746721
unhealthy_sample_0	0.391536126891994	0.427267789456345	0.0116234978647237	0.00738309293438428	0.0191342599466252	0.00234891917593516	0.0106043548762338	0.0104524703295768	0	0.0187030176386195	0.00291911700898424	0	0.0185542918625759	0.0108323442660159	0.0101012039279271	0.00505575962879725	0.00273516339860905	0.00895513597728306	0.00314079925579291	0.000597564260756978	0.00974957507524799	0.00585945951299208	0	0.00776564678034596	0.0066583629573995	0.00802204697283488	0	0.997966660958312	0.0709155840843306
unhealthy_sample_1	0.407899228381034	0.416235648205537	0.000699494278053241	0.00701531949919553	0.0166319676398242	0.00597224902029575	0.007157681954555	0.0123787876856223	0	0.0140056269044881	0.0100514517783782	0	0.0120793203042169	0.0084671758397032	0.0119546023746331	0.00707930035460231	0.000617355812826663	0.00402164186466427	0.00435164926013574	0.00377950545885695	0.00983541569235086	0.00873888778159005	0.00127857142947294	0.00822970302363254	0.0175414252109003	0.00397799024543132	0	0.998443400382471	0.0629654823811146
unhealthy_sample_2	0.360625196098954	0.411153908085408	0.00829081621238506	0.00337896265224121	0.0223479754060528	0.00863978153481038	0.0216274969732063	0.00341423765956086	0	0.025823651383518	0.00145513265320394	0	0.0211837910168856	0.0301311584736151	0.00701639149819221	0	0.00798471719785482	0.00868179406127113	6.83975133231133e-05	0.00773513393748833	0.0116854321989277	0.00680063482777258	0	0.0128992413167734	0.0179554299161402	0.00110071938241574	0	0.99367352414062	0.116202115216124
unhealthy_sample_3	0.368539547726126	0.42236297714822	0.0040257402529909	0.00674411768450314	0.0176652948931893	0.00571174414522775	0.0121411859677305	0.0109693986125505	0	0.0227708987672148	0.0116467953014925	0.00592824378953503	0.0241196063780138	0.00996091684413319	0.00709659659291369	0.00688456660890573	0	0.00663534550071433	0.00414187193295789	0.0018863710689327	0.00891693925716	0.00733898089536946	0	0.0138967854186259	0.0106772031224273	0.00993887209106589	0	0.998160896931069	0.0677963027684736
unhealthy_sample_4	0.335587940090174	0.437189155257066	0.0177044891260132	0	0.00938645503379964	0.00563576007688656	0.015561236681144	0.0131610394828338	0.00931031812143883	0.0100942965209146	0	0.0176943853657389	0.0205853824787036	0.00467923077956318	0.011708226324255	0	0.00343821359519091	0.00798298863829345	0.00459180823363115	0.00647105294536749	0.0142239972748098	0.00899849861624376	0.015713225767644	0	0.00754158864827466	0.0227407109420137	0	0.995257992894542	0.103804719006865
