,B cells,T cells,Myeloid cells,NK cells,"B cells, real","T cells, real","Myeloid cells, real","NK cells, real"
0,0.102333845287831,0.6390905474009259,0.21031882841826866,0.0482567788929731,0.1008998175013003,0.6468430429056072,0.2101346933554567,0.0421224462376356
1,0.0845344185543204,0.6573023188544844,0.1971243380841967,0.0610389245069972,0.0860795623287069,0.6636511117983597,0.2046851594373235,0.0455841664356098
2,0.10215081520407432,0.6306948541203684,0.22334174552437724,0.043812585151179,0.1064978450872688,0.626475508359679,0.2231264886274168,0.0439001579256353
3,0.0894940845358894,0.653045537978084,0.2065648674413131,0.0508955100447122,0.0889716129277332,0.661341288220395,0.2035116325886639,0.0461754662632078
4,0.0947734407775829,0.6423627943318995,0.2099983135752493,0.052865451315267,0.0936477680153182,0.6473753289295996,0.2177429752850079,0.0412339277700742
5,0.7820455064637631,0.12197670118157389,0.0654752579224836,0.030502534432178603,0.8147230417056599,0.120623918886488,0.0509514838861639,0.013701555521688
6,0.7903094506921614,0.1490453608944848,0.0408410147451409,0.0198041736682119,0.8091261494126334,0.1387394902090136,0.0381080792229728,0.01402628115538
7,0.8075062951903959,0.1188250027834511,0.0386654242113612,0.0350032778147911,0.841866284835987,0.1093873165813938,0.0357686307041434,0.0129777678784756
8,0.764182205724462,0.1576605889293717,0.044752599482587696,0.0334046058635779,0.7889757862270478,0.1515090763714355,0.0388247751845233,0.0206903622169932
9,0.8220922348820917,0.126988910733346,0.0394955214995144,0.0114233328850468,0.8442119743565241,0.1091416191293797,0.0332312512410131,0.013415155273083
